time,wheel_rpm,velocity,acceleration,F_r
0.316,-3.234863281,-0.00940025663857107,0.14002368381070399,
0.318,-3.234863281,-0.00943759628742991,0.1403970803023512,
0.32,-3.173828125,-0.009456266111859329,0.14067712767185142,
0.322,-3.204345703,-0.009484270848503458,0.14123722241085174,
0.324,-3.204345703,-0.009512275585147589,0.14123722241391065,
0.326,-3.204345703,-0.00955895014622114,0.128168345261316,
0.328,-3.204345703,-0.009558950146221138,0.11099210671589589,
0.33,-3.173828125,-0.009633629444244703,0.0933491225597402,
0.332,-3.204345703,-0.011015196457527732,0.06543773492457952,
0.334,-3.326416016,-0.012844839259258042,0.046487863049187846,
0.336,0.8544921875,-0.013292915047552381,0.04303394551292146,
0.338,3.112792969,-0.013068877153481682,0.04574107006436393,
0.34,2.685546875,-0.012975528031028695,0.0473280051469824,
0.342,2.746582031,-0.01286350908414629,0.04910163847389497,
0.344,2.746582031,-0.012742155225049174,0.0510619700451018,
0.346,2.746582031,-0.012742155225049174,0.05152871565889617,
0.348,2.746582031,-0.011808663999815776,0.061797119135760026,
0.35,2.746582031,-0.009810992777608918,0.09521610500207042,
0.352,2.685546875,-0.007944010327019767,0.13115551717552923,
0.354,3.051757813,-0.005955674017027616,0.15374600482995204,
0.356,1.312255859,-0.004490092793506312,0.16625478724660517,
0.358,-2.777099609,-0.004275389811650324,0.1673749767184881,
0.36,-2.807617188,-0.004070021742314933,0.168215118817812,
0.362,-2.746582031,-0.0038459838482442343,0.16933530828663607,
0.364,-2.777099609,-0.003640615778602957,0.17073554512496028,
0.366,-2.777099609,-0.0034445826211763884,0.1591602539297781,
0.368,-2.777099609,-0.003117860692132108,0.14179731714006377,
0.37,-2.777099609,-0.0037059601639529826,0.11668640318308093,
0.372,-2.777099609,-0.0054422538429244206,0.07906670680179782,
0.374,-2.716064453,-0.007057193662798742,0.04602111742407576,
0.376,-2.9296875,-0.008746812780696629,0.02548431046606571,
0.378,-2.288818359,-0.01024039874116795,0.008214722798498442,
0.38,1.953125,-0.010436431898594518,0.0033605684254372327,
0.382,2.746582031,-0.010389757337520969,0.0012135386038183945,
0.384,2.532958984,-0.010408427162256276,-0.0014002368285358413,
0.386,2.563476563,-0.010408427162256272,-0.005227550851861199,
0.388,2.563476563,-0.010483106460279841,-0.0018669824423302012,
