time,wheel_rpm,velocity,acceleration,F_r
0.0,2.655029297,,,
0.002,2.655029297,,,
0.004,2.655029297,,,
0.006,2.655029297,,,
0.008,2.593994141,,,
0.01,2.960205078,,,
0.012,1.403808594,,,
0.014,-2.746582031,,,
0.016,-2.899169922,,,
0.018,-2.807617188,,,
0.02,-2.838134766,,,
0.022,-2.838134766,,,
0.024,-2.838134766,,,
0.026,-2.807617188,,,
0.028,-2.777099609,,,
0.03,-3.173828125,,,
0.032,0.03051757813,,,
0.034,3.326416016,,,
0.036,2.960205078,,,
0.038,2.990722656,,,
0.04,2.990722656,,,
0.042,2.990722656,,,
0.044,2.990722656,,,
0.046,2.990722656,,,
0.048,2.990722656,,,
0.05,2.960205078,,,
0.052,3.295898438,,,
0.054,-0.1525878906,,,
0.056,-2.990722656,,,
0.058,-2.593994141,,,
0.06,-2.624511719,,,
0.062,-2.655029297,,,
0.064,-2.655029297,,,
0.066,-2.655029297,,,
0.068,-2.655029297,,,
0.07,-2.624511719,,,
0.072,-2.655029297,,,
0.074,-2.777099609,,,
0.076,0.9460449219,,,
0.078,2.990722656,,,
0.08,2.593994141,,,
0.082,2.655029297,,,
0.084,2.655029297,,,
0.086,2.655029297,,,
0.088,2.655029297,,,
0.09,2.624511719,,,
0.092,2.838134766,,,
0.094,2.136230469,,,
0.096,-2.319335938,,,
0.098,-3.173828125,,,
0.1,-2.9296875,,,
0.102,-2.990722656,,,
0.104,-2.990722656,,,
0.106,-2.990722656,,,
0.108,-2.990722656,,,
0.11,-2.960205078,,,
0.112,-3.051757813,,,
0.114,-2.960205078,,,
0.116,1.434326172,,,
0.118,3.143310547,,,
0.12,2.777099609,,,
0.122,2.838134766,,,
0.124,2.838134766,,,
0.126,2.838134766,,,
0.128,2.838134766,,,
0.13,2.838134766,,,
0.132,2.868652344,,,
0.134,3.021240234,,,
0.136,-0.8850097656,,,
0.138,-3.204345703,,,
0.14,-2.777099609,,,
0.142,-2.838134766,,,
0.144,-2.868652344,,,
0.146,-2.868652344,,,
0.148,-2.868652344,,,
0.15,-2.868652344,,,
0.152,-2.868652344,,,
0.154,-2.807617188,,,
0.156,-3.051757813,,,
0.158,-2.227783203,,,
0.16,2.014160156,,,
0.162,2.655029297,,,
0.164,2.44140625,,,
0.166,2.471923828,,,
0.168,2.471923828,,,
0.17,2.471923828,,,
0.172,2.44140625,,,
0.174,2.655029297,,,
0.176,1.983642578,,,
0.178,-2.563476563,,,
0.18,-3.41796875,,,
0.182,-3.173828125,,,
0.184,-3.234863281,,,
0.186,-3.234863281,,,
0.188,-3.234863281,,,
0.19,-3.234863281,,,
0.192,-3.234863281,,,
0.194,-3.173828125,,,
0.196,-3.509521484,,,
0.198,-2.075195313,-0.008093368923547142,,
0.2,2.471923828,-0.008149378397141287,,
0.202,2.777099609,-0.008112038748282448,,
0.204,2.624511719,-0.008121373660497158,,
0.206,2.655029297,-0.008121373660497158,,
0.208,2.655029297,-0.008102703836067737,,
0.21,2.655029297,-0.008196052958520723,,
0.212,2.655029297,-0.007813321556188184,,
0.214,2.593994141,-0.006179711911884442,,
0.216,2.990722656,-0.0043780738471041495,,
0.218,1.007080078,-0.0032112098153712237,,
0.22,-3.051757813,-0.0032765542011800796,,
0.222,-2.990722656,-0.0033232287622536293,,
0.224,-2.9296875,-0.003351233498897759,,
0.226,-2.960205078,-0.0033979080599713086,,
0.228,-2.960205078,-0.0034539175335654548,,
0.23,-2.960205078,-0.0033885731477565984,,
0.232,-2.960205078,-0.004303394548508575,,
0.234,-2.960205078,-0.006226386472691871,,
0.236,-2.899169922,-0.008018689625257454,,
0.238,-3.112792969,-0.009885672075846603,,
0.24,-2.380371094,-0.011528616632365055,,
0.242,1.983642578,-0.011836668736674027,,
0.244,2.746582031,-0.011911348034697592,,
0.246,2.532958984,-0.012051371718530017,,
0.248,2.563476563,-0.012182060489841842,,
0.25,2.563476563,-0.012303414348938956,,
0.252,2.563476563,-0.012527452243009657,,
0.254,2.563476563,-0.011696645052352189,,
0.256,2.502441406,-0.010016360846974897,,
0.258,2.899169922,-0.008336076641291719,,
0.26,0.7629394531,-0.007299901381145918,,
0.262,-3.143310547,-0.007449259977193049,,
0.264,-3.021240234,-0.007561278924075455,,
0.266,-2.990722656,-0.007663962958743152,,
0.268,-3.021240234,-0.007775981905625557,,
0.27,-3.021240234,-0.007897335764722672,,
0.272,-3.021240234,-0.008009354711605078,,
0.274,-2.990722656,-0.008074699097413934,,
0.276,-2.960205078,-0.0092695678657604,,
0.278,-3.387451172,-0.011220564526587826,,
0.28,-0.48828125,-0.012163390664250056,,
0.282,3.234863281,-0.011986027331558792,,
0.284,2.9296875,-0.011902013121320516,,
0.286,2.9296875,-0.01181799891108224,,
0.288,2.9296875,-0.011733984700843964,,
0.29,2.9296875,-0.011640635578390979,,
0.292,2.9296875,-0.01161263084174685,,
0.294,2.9296875,-0.01136992312324673,,
0.296,2.9296875,-0.00976431821558712,,
0.298,2.868652344,-0.007916005589427389,0.001773633341197327,
0.3,3.265380859,-0.006021018402194112,0.02128359994947154,
0.302,1.068115234,-0.004779475072743506,0.0333256367553892,
0.304,-2.777099609,-0.00471413068693465,0.034072429735624854,
0.306,-2.624511719,-0.004602111740052244,0.03519261920444891,
0.308,-2.593994141,-0.004480757880955128,0.036219459551125856,
0.31,-2.624511719,-0.004378073846287433,0.038179791122332676,
0.312,-2.624511719,-0.00424738507466972,0.035659364815184405,
0.314,-2.624511719,-0.004144701040002025,0.020350108718823957,
0.316,-2.593994141,-0.005376909457543806,-0.00998835610439675,
0.318,-2.563476563,-0.00712253804903584,-0.03911328233664632,
0.32,-2.960205078,-0.008877501552436697,-0.05600947351256631,
0.322,-0.6103515625,-0.009932346637134274,-0.06609117874880659,
0.324,3.112792969,-0.009848332426895999,-0.06497098927998253,
0.326,2.899169922,-0.00982966260246658,-0.06431754542495285,
0.328,2.899169922,-0.00981099277803716,-0.06357075244471719,
0.33,2.899169922,-0.009792322953607739,-0.06403749805851155,
0.332,2.899169922,-0.009782988041393027,-0.05479593492884468,
0.334,2.899169922,-0.009820327690251868,-0.035939412175600136,
0.336,2.899169922,-0.008662798570856006,-0.006441089455985463,
0.338,2.899169922,-0.006795816120266858,0.030898559555797477,
0.34,2.9296875,-0.005050187529080711,0.06478429103284343,
0.342,3.051757813,-0.0032485494639945306,0.08588119272679494,
0.344,-0.8850097656,-0.0026417801674689383,0.09269567867228666,
