time,wheel_rpm,velocity,acceleration,F_r
0.0,-4.39453125,,,
0.002,-4.39453125,,,
0.004,-4.39453125,,,
0.006,-4.333496094,,,
0.008,-4.638671875,,,
0.01,-3.356933594,,,
0.012,0.6713867188,,,
0.014,0.9155273438,,,
0.016,0.7934570313,,,
0.018,0.8239746094,,,
0.02,0.7629394531,,,
0.022,1.098632813,,,
0.024,-0.4272460938,,,
0.026,-4.211425781,,,
0.028,-4.241943359,,,
0.03,-4.180908203,,,
0.032,-4.211425781,,,
0.034,-4.211425781,,,
0.036,-4.211425781,,,
0.038,-4.211425781,,,
0.04,-4.211425781,,,
0.042,-4.211425781,,,
0.044,-4.211425781,,,
0.046,-4.211425781,,,
0.048,-4.211425781,,,
0.05,-4.211425781,,,
0.052,-4.211425781,,,
0.054,-4.211425781,,,
0.056,-4.211425781,,,
0.058,-4.211425781,,,
0.06,-4.211425781,,,
0.062,-4.211425781,,,
0.064,-4.211425781,,,
0.066,-4.211425781,,,
0.068,-4.211425781,,,
0.07,-4.211425781,,,
0.072,-4.211425781,,,
0.074,-4.211425781,,,
0.076,-4.211425781,,,
0.078,-4.211425781,,,
0.08,-4.211425781,,,
0.082,-4.211425781,,,
0.084,-4.211425781,,,
0.086,-4.211425781,,,
0.088,-4.150390625,,,
0.09,-4.302978516,,,
0.092,-3.936767578,,,
0.094,0.0,,,
0.096,1.007080078,,,
0.098,0.7629394531,,,
0.1,0.7629394531,,,
0.102,0.9155273438,,,
0.104,0.5798339844,,,
0.106,-3.845214844,,,
0.108,-5.096435547,,,
0.11,-4.791259766,,,
0.112,-4.852294922,,,
0.114,-4.852294922,,,
0.116,-4.852294922,,,
0.118,-4.852294922,,,
0.12,-4.852294922,,,
0.122,-4.852294922,,,
0.124,-4.852294922,,,
0.126,-4.852294922,,,
0.128,-4.852294922,,,
0.13,-4.852294922,,,
0.132,-4.852294922,,,
0.134,-4.852294922,,,
0.136,-4.852294922,,,
0.138,-4.852294922,,,
0.14,-4.852294922,,,
0.142,-4.852294922,,,
0.144,-4.852294922,,,
0.146,-4.852294922,,,
0.148,-4.852294922,,,
0.15,-4.852294922,,,
0.152,-4.852294922,,,
0.154,-4.852294922,,,
0.156,-4.852294922,,,
0.158,-4.852294922,,,
0.16,-4.852294922,,,
0.162,-4.852294922,,,
0.164,-4.852294922,,,
0.166,-4.852294922,,,
0.168,-4.852294922,,,
0.17,-4.852294922,,,
0.172,-4.852294922,,,
0.174,-4.852294922,,,
0.176,-4.852294922,,,
0.178,-4.852294922,,,
0.18,-4.852294922,,,
0.182,-4.852294922,,,
0.184,-4.852294922,,,
0.186,-4.852294922,,,
0.188,-4.852294922,,,
0.19,-4.852294922,,,
0.192,-4.852294922,,,
0.194,-4.852294922,,,
0.196,-4.852294922,,,
0.198,-4.852294922,-0.1183853571914756,,
0.2,-4.852294922,-0.118525380875308,,
0.202,-4.852294922,-0.11866540455914043,,
0.204,-4.852294922,-0.11880542824297285,,
0.206,-4.852294922,-0.1189641217512347,,
0.208,-4.852294922,-0.11902946613704357,,
0.21,-4.852294922,-0.11948687683739966,,
0.212,-4.852294922,-0.12117649595523637,,
0.214,-4.852294922,-0.12294079437109665,,
0.216,-4.852294922,-0.12466775313794515,,
0.218,-4.852294922,-0.12640404681703893,,
0.22,-4.852294922,-0.12812167067161154,,
0.222,-4.852294922,-0.12994197856112716,,
0.224,-4.852294922,-0.1312955408378272,,
0.226,-4.852294922,-0.13149157399525377,,
0.228,-4.852294922,-0.13167827224046563,,
0.23,-4.852294922,-0.13188364031010694,,
0.232,-4.852294922,-0.13207967346753346,,
0.234,-4.852294922,-0.13227570662496005,,
0.236,-4.852294922,-0.1324717397823866,,
0.238,-4.852294922,-0.1326677729398132,,
0.24,-4.852294922,-0.13286380609723974,,
0.242,-4.852294922,-0.13305983925466633,,
0.244,-4.852294922,-0.13325587241209289,,
0.246,-4.852294922,-0.13345190556951947,,
0.248,-4.852294922,-0.13364793872694603,,
0.25,-4.821777344,-0.1338346369721579,,
0.252,-4.791259766,-0.13401200030515503,,
0.254,-5.126953125,-0.13429204767281988,,
0.256,-2.197265625,-0.13367594346420192,,
0.258,0.6408691406,-0.13219169241606768,,
0.26,0.3051757813,-0.13081012540269288,,
0.262,0.3356933594,-0.1294192234770728,,
0.264,0.3051757813,-0.128037656463698,,
0.266,0.5493164063,-0.12658141015229962,,
0.268,-0.4577636719,-0.12543321594527143,,
0.27,-4.333496094,-0.12547055559443615,,
0.272,-4.669189453,-0.12561057927826857,,
0.274,-4.547119141,-0.12571326331324215,,
0.276,-4.577636719,-0.12582528226043047,,
0.278,-4.577636719,-0.12593730120761873,,
0.28,-4.577636719,-0.12604932015480702,,
0.282,-4.577636719,-0.12616133910199534,,
0.284,-4.577636719,-0.1262733580491836,,
0.286,-4.577636719,-0.1263853769963719,,
0.288,-4.577636719,-0.12651606576798963,,
0.29,-4.577636719,-0.1266000799782279,,
0.292,-4.577636719,-0.12679611313565448,,
0.294,-4.577636719,-0.1281963499736728,,
0.296,-4.577636719,-0.1299046389160001,,
0.298,-4.577636719,-0.13153824856033444,-0.13152891368858843,
0.3,-4.577636719,-0.13317185820466876,-0.14646477329360746,
0.302,-4.577636719,-0.13485214241029075,-0.16186737851150315,
0.304,-4.577636719,-0.13642974258112273,-0.17624314338149863,
0.306,-4.577636719,-0.13665378047519341,-0.176896587239587,
0.308,-4.577636719,-0.13649508696693158,-0.17465620829887998,
0.31,-4.577636719,-0.13642974258112273,-0.16942865743723062,
0.312,-4.577636719,-0.13634572837088443,-0.15169232415648057,
0.314,-4.577636719,-0.13626171416064617,-0.13320919789549518,
0.316,-4.577636719,-0.13617769995040788,-0.11509946812462726,
0.318,-4.577636719,-0.1360936857401696,-0.09689638923130682,
0.32,-4.577636719,-0.13600967152993135,-0.07888000858319809,
0.322,-4.577636719,-0.13592565731969308,-0.05983678758565926,
0.324,-4.577636719,-0.1358416431094548,-0.045461022716275806,
0.326,-4.577636719,-0.1357576288992165,-0.04266054903962732,
0.328,-4.577636719,-0.13567361468897823,-0.03995342448512603,
0.33,-4.547119141,-0.13558026556652525,-0.03696625256418315,
0.332,-4.516601563,-0.13547758153185754,-0.033979080643240824,
0.334,-4.913330078,-0.13549625135628698,-0.03220544731326938,
0.336,-2.563476563,-0.13479613293743076,-0.023243931550441535,
0.338,1.037597656,-0.13299449487265044,-0.0032672193283725726,
0.34,0.8239746094,-0.13125820119355666,0.016056049036830784,
0.342,0.8239746094,-0.12952190751446288,0.03537931740203441,
0.344,0.8239746094,-0.1277856138353691,0.05470258576723826,
0.346,0.7934570313,-0.1260586550685206,0.0739325050099891,
0.348,1.129150391,-0.12422901226679027,0.09418926460155791,
0.35,-1.647949219,-0.1232488464802692,0.1058579049188873,
0.352,-4.516601563,-0.1231461624456015,0.10865837859553565,
0.354,-4.180908203,-0.12294079437596023,0.11351253296859688,
0.356,-4.211425781,-0.12274476121853369,0.10931182245668268,
0.358,-4.241943359,-0.12255806297332182,0.09633629442745896,
0.36,-4.241943359,-0.12237136472810996,0.08438760674582958,
0.362,-4.241943359,-0.1221846664828981,0.07234556994174741,
0.364,-4.241943359,-0.12199796823768624,0.06039688226011791,
0.366,-4.241943359,-0.1218112699924744,0.04770140159825269,
0.368,-4.241943359,-0.12162457174726253,0.038086441980089425,
0.37,-4.241943359,-0.12143787350205068,0.04032682092385512,
0.372,-4.241943359,-0.1212511752568388,0.04359404021429813,
0.374,-4.241943359,-0.12106447701162695,0.04648786301615235,
0.376,-4.241943359,-0.12087777876641509,0.049475034940154164,
0.378,-4.241943359,-0.12069108052120324,0.0524622068641553,
0.38,-4.241943359,-0.12050438227599138,0.05544937878815685,
0.382,-4.241943359,-0.12031768403077951,0.058436550712158704,
0.384,-4.241943359,-0.12013098578556766,0.06142372263615984,
0.386,-4.241943359,-0.1199442875403558,0.0644108945601614,
0.388,-4.241943359,-0.11975758929514395,0.0675847647284572,
0.39,-4.241943359,-0.11957089104993208,0.07029188928295849,
0.392,-4.241943359,-0.11938419280472023,0.07411920330934282,
0.394,-4.241943359,-0.11919749455950836,0.08998855414164479,
0.396,-4.241943359,-0.11901079631429651,0.10893842601703631,
0.398,-4.241943359,-0.11882409806908466,0.1271415049124982,
0.4,-4.241943359,-0.1186373998238728,0.14534458380795998,
0.402,-4.241943359,-0.11845070157866094,0.16401440831629846,
0.404,-4.241943359,-0.11826400333344908,0.18165739247673676,
0.406,-4.241943359,-0.11807730508823722,0.1857647538695623,
0.408,-4.241943359,-0.11789060684302535,0.1860448012390626,
0.41,-4.241943359,-0.1177039085978135,0.1872583398330926,
0.412,-4.211425781,-0.11750787544038693,0.18837852930497537,
0.414,-4.302978516,-0.11733984701991039,0.18921867140735812,
0.416,-4.119873047,-0.1171158091258397,0.19061890824568212,
0.418,-0.2136230469,-0.11569690246336135,0.20396783276808292,
0.42,1.098632813,-0.11387659457384575,0.22133076956085632,
0.422,0.7629394531,-0.11215897071927314,0.23766686600419976,
0.424,0.8239746094,-0.11042267704017936,0.2541896606927546,
0.426,0.8239746094,-0.10868638336108556,0.27071245538130967,
0.428,0.7934570313,-0.10695942459423709,0.2871419009474117,
0.43,1.129150391,-0.10512978179250675,0.3045048377401853,
0.432,-1.281738281,-0.10403759705879739,0.3143998447306018,
0.434,-4.180908203,-0.10383222898915612,0.3166402236713089,
0.436,-3.90625,-0.10354284670927656,0.3125328622815422,
0.438,-3.90625,-0.10325346442939702,0.2974103044325345,
0.44,-3.936767578,-0.10297341706173217,0.28284784131824514,
0.442,-3.936767578,-0.10269336969406732,0.26828537820395587,
0.444,-3.936767578,-0.10241332232640249,0.25372291508966593,
0.446,-3.936767578,-0.10213327495873763,0.23925380109782954,
0.448,-3.936767578,-0.10185322759107279,0.2237578467571746,
0.45,-3.936767578,-0.10158251513562266,0.21666331344646517,
0.452,-3.936767578,-0.10132113759238724,0.21825024853214245,
0.454,-3.936767578,-0.10095707601448412,0.21983718361476096,
0.456,-3.936767578,-0.10148916601286379,0.2125559520566989,
0.458,-3.936767578,-0.10288940285075977,0.19668660122562037,
0.46,-3.936767578,-0.10418695565389628,0.18184409074213662,
0.462,-3.936767578,-0.1054938433692781,0.16690823113619987,
0.464,-3.936767578,-0.10679139617241462,0.15206572065271615,
0.466,-3.936767578,-0.10816362827357469,0.13647641718899697,
0.468,-3.936767578,-0.10922780827036464,0.12396763476897882,
0.47,-3.936767578,-0.10910645441096163,0.12331419091089048,
0.472,-3.936767578,-0.10888241651689093,0.12368758739947873,
0.474,-3.936767578,-0.10869571827167908,0.12368758739947872,
0.476,-3.936767578,-0.10849968511425251,0.12378093652162578,
0.478,-3.936767578,-0.10830365195682592,0.1238742856437731,
0.48,-3.936767578,-0.10810761879939937,0.12396763476592004,
0.482,-3.936767578,-0.1079115856419728,0.12406098388806712,
0.484,-3.936767578,-0.10771555248454626,0.12415433301021402,
0.486,-3.936767578,-0.10751951932711966,0.12424768213236137,
0.488,-3.936767578,-0.10732348616969309,0.12434103125450859,
0.49,-3.936767578,-0.10712745301226655,0.12443438037665536,
0.492,-3.936767578,-0.10693141985483995,0.12452772949880284,
0.494,-3.875732422,-0.10671671687298398,0.12480777686524375,
0.496,-4.058837891,-0.10655802336472213,0.12452772949574376,
0.498,-3.601074219,-0.10625930617262787,0.12564791896456787,
0.5,0.1831054688,-0.10480305986107658,0.13834339962796216,
0.502,1.007080078,-0.10309477091874926,0.1535593065991168,
0.504,0.7934570313,-0.10145182636213904,0.1681217697131004,
0.506,0.8239746094,-0.09979954689328352,0.18277758194953686,
0.508,0.7629394531,-0.09816593724894919,0.1972466959407615,
0.51,1.129150391,-0.09642030865745717,0.21283599940356318,
0.512,-0.48828125,-0.09516943041548595,0.22338445024900963,
0.514,-4.333496094,-0.09509475111746239,0.2224509590244798,
0.516,-4.364013672,-0.09502940673165354,0.22086402394186144,
0.518,-4.302978516,-0.09494539252141525,0.2075150994194609,
0.52,-4.333496094,-0.0948707132233917,0.1900588135045403,
0.522,-4.333496094,-0.09479603392536813,0.17362936793904993,
0.524,-4.333496094,-0.09472135462734455,0.15701322412834803,
0.526,-4.333496094,-0.094646675329321,0.1403970803176455,
