"Time"	"RR_Fx"	"RR_Fy"	"RR_Fz"	"RR_Mx"	"RR_My"	"RR_Mz"	"RR_Wheel Speed"	"RR_Position"	"RR_Ax"	"RR_Ay"	"RR_Az"
0	-79.34570313	220.3369141	661.6210938	-78.91845703	-52.734375	-4.760742188	0	161.048584	-0.2807617188	0.09765625	1.275634766
0.002	-96.43554688	227.6611328	664.0625	-79.28466797	-52.91748047	-4.39453125	0	161.0925293	-0.08239746094	0.02746582031	1.290893555
0.004	-112.3046875	234.9853516	666.5039063	-78.73535156	-52.734375	-3.295898438	0	161.1584473	0.01525878906	-0.06408691406	1.14440918
0.006	-125.7324219	233.7646484	673.828125	-78.00292969	-52.18505859	-1.281738281	0	161.1914063	0.06713867188	-0.1403808594	0.9185791016
0.008	-136.71875	227.6611328	682.3730469	-77.81982422	-51.26953125	1.46484375	0	161.1804199	0.1312255859	-0.07629394531	0.8239746094
0.01	-147.7050781	225.8300781	686.0351563	-78.18603516	-50.17089844	3.662109375	0	161.2023926	0.2593994141	-0.06103515625	0.8728027344
0.012	-153.8085938	225.2197266	687.2558594	-78.00292969	-48.70605469	5.310058594	0	161.2792969	0.3997802734	-0.03967285156	0.8636474609
0.014	-152.5878906	224.609375	687.2558594	-77.27050781	-47.42431641	6.408691406	0	161.2243652	0.4821777344	-0.003051757813	0.7385253906
0.016	-145.2636719	230.1025391	683.59375	-76.53808594	-45.95947266	6.225585938	0	161.1804199	0.5493164063	-0.003051757813	0.6744384766
0.018	-136.71875	237.4267578	675.0488281	-76.35498047	-44.67773438	5.493164063	0	161.1694336	0.5737304688	-0.09460449219	0.7720947266
0.02	-125.7324219	233.7646484	664.0625	-76.35498047	-43.9453125	4.577636719	0	161.1035156	0.5767822266	-0.01831054688	1.000976563
0.022	-112.3046875	231.9335938	657.9589844	-76.72119141	-43.76220703	3.479003906	0	161.0375977	0.5004882813	0.01831054688	1.19934082
0.024	-103.7597656	236.8164063	660.4003906	-77.63671875	-43.57910156	1.46484375	0	161.0046387	0.3143310547	-0.1007080078	1.193237305
0.026	-101.3183594	234.9853516	666.5039063	-78.00292969	-43.76220703	-0.5493164063	0	160.949707	0.1220703125	-0.1953125	1.052856445
0.028	-97.65625	228.8818359	668.9453125	-78.55224609	-44.12841797	-1.647949219	0	160.916748	0.01831054688	-0.1678466797	0.9460449219
0.03	-89.11132813	229.4921875	671.3867188	-79.65087891	-44.86083984	-2.197265625	0	160.9277344	-0.06103515625	-0.1831054688	0.9765625
0.032	-81.78710938	229.4921875	671.3867188	-79.28466797	-45.95947266	-2.380371094	0	160.9277344	-0.1617431641	-0.1647949219	1.062011719
0.034	-72.02148438	221.5576172	668.9453125	-78.55224609	-46.875	-1.831054688	0	160.9277344	-0.2838134766	-0.01220703125	1.043701172
0.036	-62.25585938	215.4541016	665.2832031	-77.27050781	-47.79052734	-0.9155273438	0	160.916748	-0.3570556641	0.1831054688	0.9735107422
0.038	-42.72460938	223.3886719	660.4003906	-76.90429688	-48.52294922	0.3662109375	0	160.9387207	-0.4028320313	0.1129150391	0.9826660156
0.04	-31.73828125	227.6611328	655.5175781	-77.45361328	-49.25537109	1.46484375	0	161.0046387	-0.3631591797	0.06408691406	1.098632813
0.042	-40.28320313	233.7646484	651.8554688	-78.55224609	-49.62158203	0.9155273438	0	161.0375977	-0.3112792969	-0.0732421875	1.19934082
0.044	-67.13867188	226.4404297	657.9589844	-79.65087891	-49.98779297	-0.1831054688	0	161.0925293	-0.1983642578	-0.05187988281	1.184082031
0.046	-96.43554688	217.8955078	666.5039063	-79.83398438	-50.17089844	-1.098632813	0	161.1364746	0.01220703125	0.01220703125	1.049804688
0.048	-119.6289063	211.1816406	675.0488281	-80.20019531	-50.17089844	-1.281738281	0	161.1914063	0.2471923828	0.07934570313	0.9216308594
0.05	-139.1601563	211.7919922	687.2558594	-80.38330078	-49.8046875	-0.732421875	0	161.1914063	0.3082275391	0.05798339844	0.8392333984
0.052	-161.1328125	215.4541016	692.1386719	-80.01708984	-49.07226563	-0.732421875	0	161.2573242	0.2410888672	0.01525878906	0.8361816406
0.054	-170.8984375	224.609375	693.359375	-79.46777344	-48.33984375	0	0	161.2792969	0.1708984375	-0.09460449219	0.8605957031
0.056	-169.6777344	235.5957031	688.4765625	-77.81982422	-47.60742188	1.281738281	0	161.2792969	0.2563476563	-0.1190185547	0.8117675781
0.058	-159.9121094	241.6992188	683.59375	-76.72119141	-46.875	3.112792969	0	161.2243652	0.4791259766	-0.1190185547	0.8544921875
0.06	-148.9257813	244.140625	677.4902344	-75.62255859	-46.14257813	4.211425781	0	161.1804199	0.6195068359	-0.03967285156	0.9460449219
0.062	-133.0566406	246.5820313	672.6074219	-75.62255859	-45.77636719	5.493164063	0	161.1254883	0.6744384766	-0.05493164063	1.07421875
0.064	-111.0839844	249.6337891	671.3867188	-75.98876953	-45.59326172	5.676269531	0	161.0595703	0.5432128906	-0.1098632813	1.126098633
0.066	-95.21484375	249.6337891	672.6074219	-76.72119141	-45.59326172	4.943847656	0	161.0046387	0.341796875	-0.2197265625	1.065063477
0.068	-93.99414063	243.5302734	672.6074219	-78.00292969	-46.14257813	3.479003906	0	161.0046387	0.2319335938	-0.2227783203	0.9948730469
0.07	-91.55273438	228.2714844	675.0488281	-79.46777344	-47.05810547	2.197265625	0	161.015625	0.1922607422	-0.1220703125	1.010131836
0.072	-85.44921875	217.2851563	679.9316406	-81.11572266	-47.79052734	0.9155273438	0	161.015625	0.1129150391	-0.003051757813	1.080322266
0.074	-75.68359375	213.0126953	683.59375	-81.66503906	-48.70605469	-0.3662109375	0	161.015625	-0.1403808594	0.0244140625	1.119995117
0.076	-65.91796875	215.4541016	678.7109375	-81.11572266	-49.62158203	-1.831054688	0	161.015625	-0.4547119141	0.03662109375	1.04675293
0.078	-62.25585938	214.84375	668.9453125	-79.83398438	-50.35400391	-3.479003906	0	161.0046387	-0.6378173828	0.08544921875	0.9674072266
0.08	-61.03515625	216.6748047	660.4003906	-79.28466797	-50.90332031	-4.39453125	0	161.015625	-0.5798339844	0.1159667969	1.052856445
0.082	-69.58007813	221.5576172	656.7382813	-79.83398438	-51.45263672	-4.943847656	0	161.0705566	-0.3387451172	0.1190185547	1.251220703
0.084	-85.44921875	228.8818359	657.9589844	-80.38330078	-51.63574219	-5.126953125	0	161.1254883	-0.09460449219	0.03356933594	1.318359375
0.086	-100.0976563	233.1542969	660.4003906	-80.20019531	-51.63574219	-4.028320313	0	161.1804199	0.01220703125	-0.03662109375	1.177978516
0.088	-113.5253906	235.5957031	666.5039063	-79.46777344	-51.26953125	-2.197265625	0	161.2023926	0.006103515625	-0.1251220703	0.9643554688
0.09	-128.1738281	229.4921875	675.0488281	-79.1015625	-50.35400391	0.1831054688	0	161.2683105	0.05187988281	-0.08239746094	0.8697509766
0.092	-139.1601563	225.8300781	679.9316406	-79.28466797	-49.43847656	2.746582031	0	161.2792969	0.1708984375	-0.048828125	0.9063720703
0.094	-147.7050781	225.8300781	681.1523438	-79.28466797	-48.33984375	4.760742188	0	161.2683105	0.341796875	-0.03051757813	0.9185791016
0.096	-147.7050781	225.2197266	682.3730469	-78.55224609	-46.875	6.225585938	0	161.2683105	0.5004882813	0.01831054688	0.7904052734
0.098	-144.0429688	231.9335938	679.9316406	-77.63671875	-45.59326172	6.408691406	0	161.2792969	0.5920410156	-0.009155273438	0.6927490234
0.1	-137.9394531	239.8681641	671.3867188	-77.08740234	-44.49462891	5.859375	0	161.2353516	0.6042480469	-0.09155273438	0.7202148438
0.102	-130.6152344	239.8681641	662.8417969	-76.90429688	-43.76220703	5.126953125	0	161.1804199	0.6072998047	-0.08850097656	0.9033203125
0.104	-118.4082031	234.9853516	654.296875	-76.72119141	-43.57910156	4.211425781	0	161.1364746	0.5706787109	0.006103515625	1.092529297
0.106	-107.421875	236.2060547	654.296875	-77.45361328	-43.39599609	2.746582031	0	161.0925293	0.4211425781	-0.01525878906	1.156616211
0.108	-103.7597656	238.6474609	660.4003906	-78.18603516	-43.57910156	0.3662109375	0	161.0266113	0.244140625	-0.146484375	1.080322266
0.11	-101.3183594	234.375	665.2832031	-78.73535156	-43.9453125	-1.281738281	0	161.0046387	0.06408691406	-0.1861572266	0.9552001953
