"Time"	"RR_Fx"	"RR_Fy"	"RR_Fz"	"RR_Mx"	"RR_My"	"RR_Mz"	"RR_Wheel Speed"	"RR_Position"	"RR_Ax"	"RR_Ay"	"RR_Az"
0.072	-24.4140625	15.25878906	-133.0566406	-3.112792969	-0.1831054688	-2.380371094	0	330.2819824	0.2136230469	0.05798339844	1.24206543
0.074	-13.42773438	27.46582031	-140.3808594	-3.295898438	-0.3662109375	-0.9155273438	0	330.2819824	0.1983642578	-0.05493164063	1.382446289
0.076	-10.98632813	29.296875	-133.0566406	-4.211425781	-0.3662109375	0	0	330.2819824	0.1678466797	-0.0732421875	1.312255859
0.078	-13.42773438	32.34863281	-124.5117188	-4.39453125	0	0.3662109375	0	330.2819824	0.1251220703	-0.1007080078	1.089477539
0.08	-19.53125	36.62109375	-114.7460938	-4.577636719	0	0	0	330.2819824	0.146484375	-0.1495361328	0.9002685547
0.082	-30.51757813	37.84179688	-100.0976563	-5.310058594	-0.1831054688	-0.732421875	0	330.2819824	0.2349853516	-0.1953125	0.7995605469
0.084	-35.40039063	25.02441406	-93.99414063	-5.493164063	-0.1831054688	0	0	330.2819824	0.4058837891	-0.1007080078	0.8575439453
0.086	-28.07617188	9.155273438	-96.43554688	-5.126953125	-0.1831054688	1.647949219	0	330.2819824	0.5340576172	0.08239746094	0.9857177734
0.088	-15.86914063	-2.44140625	-101.3183594	-4.211425781	-0.1831054688	2.9296875	0	330.2819824	0.5310058594	0.1953125	0.9735107422
0.09	-8.544921875	-5.493164063	-112.3046875	-2.197265625	-0.3662109375	3.112792969	0	330.2819824	0.3326416016	0.1403808594	0.8819580078
0.092	-10.98632813	-3.662109375	-115.9667969	-1.46484375	-0.3662109375	2.563476563	0	330.2819824	0.0732421875	0.05187988281	0.8575439453
0.094	-13.42773438	-1.831054688	-118.4082031	-1.281738281	-0.3662109375	2.563476563	0	330.2819824	-0.01220703125	-0.01525878906	0.9216308594
0.096	-10.98632813	3.051757813	-113.5253906	-2.563476563	-0.3662109375	2.197265625	0	330.2819824	0.1281738281	-0.09460449219	1.07421875
0.098	-8.544921875	7.32421875	-111.0839844	-3.662109375	-0.1831054688	1.647949219	0	330.2819824	0.3295898438	-0.07934570313	1.135253906
0.1	-14.6484375	10.98632813	-103.7597656	-4.577636719	-0.1831054688	0.3662109375	0	330.2819824	0.4669189453	-0.01831054688	1.034545898
0.102	-31.73828125	9.155273438	-89.11132813	-5.493164063	-0.1831054688	-1.098632813	0	330.2819824	0.4241943359	0.1129150391	0.8148193359
