"Time"	"RR_Fx"	"RR_Fy"	"RR_Fz"	"RR_Mx"	"RR_My"	"RR_Mz"	"RR_Wheel Speed"	"RR_Position"	"RR_Ax"	"RR_Ay"	"RR_Az"
0	26.85546875	260.0097656	661.6210938	-92.46826172	-18.31054688	2.197265625	0	336.8737793	0.1403808594	0.04272460938	1.248168945
0.002	24.4140625	269.7753906	657.9589844	-93.20068359	-17.76123047	1.647949219	0	336.8737793	0.2227783203	-0.1068115234	1.379394531
0.004	25.63476563	264.8925781	655.5175781	-93.38378906	-17.21191406	1.281738281	0	336.8737793	0.2319335938	-0.09765625	1.351928711
0.006	24.4140625	260.0097656	660.4003906	-93.38378906	-16.47949219	1.46484375	0	336.8737793	0.1525878906	-0.03051757813	1.217651367
0.008	24.4140625	256.3476563	666.5039063	-93.01757813	-15.38085938	2.197265625	0	336.8737793	0.0732421875	0.01525878906	1.071166992
0.01	29.296875	260.0097656	668.9453125	-93.20068359	-14.46533203	3.662109375	0	336.8737793	0.05798339844	-0.03662109375	1.031494141
0.012	36.62109375	261.2304688	672.6074219	-93.38378906	-13.54980469	5.310058594	0	336.8737793	0.1037597656	-0.03356933594	0.9979248047
0.014	46.38671875	261.8408203	673.828125	-92.65136719	-12.45117188	6.408691406	0	336.8737793	0.1495361328	0	0.8819580078
0.016	50.04882813	262.4511719	672.6074219	-91.55273438	-11.53564453	6.591796875	0	336.8737793	0.1312255859	0.02136230469	0.7415771484
0.018	48.828125	270.3857422	670.1660156	-90.63720703	-10.62011719	6.225585938	0	336.8737793	0.1434326172	-0.02136230469	0.7049560547
0.02	50.04882813	275.2685547	664.0625	-90.45410156	-10.25390625	5.676269531	0	336.8737793	0.2410888672	-0.03662109375	0.7873535156
0.022	48.828125	275.8789063	659.1796875	-90.45410156	-10.07080078	5.676269531	0	336.8737793	0.3753662109	-0.01831054688	0.9124755859
0.024	45.16601563	272.8271484	659.1796875	-91.00341797	-10.25390625	5.310058594	0	336.8737793	0.4302978516	0.01525878906	0.9887695313
0.026	40.28320313	271.6064453	662.8417969	-91.73583984	-10.80322266	5.310058594	0	336.8737793	0.3692626953	-0.006103515625	0.9521484375
0.028	37.84179688	273.4375	664.0625	-92.28515625	-11.90185547	5.493164063	0	336.8737793	0.2319335938	-0.1190185547	0.9063720703
0.03	36.62109375	271.6064453	668.9453125	-92.83447266	-12.81738281	5.676269531	0	336.8737793	0.1281738281	-0.2014160156	0.8697509766
0.032	41.50390625	258.1787109	670.1660156	-92.65136719	-13.91601563	6.408691406	0	336.8737793	0.08850097656	-0.05798339844	0.8666992188
0.034	45.16601563	255.1269531	666.5039063	-92.46826172	-15.19775391	6.408691406	0	336.8737793	0.07019042969	0.03356933594	0.9826660156
0.036	42.72460938	267.3339844	659.1796875	-92.28515625	-16.29638672	5.676269531	0	336.8737793	0.08544921875	-0.0732421875	1.080322266
0.038	45.16601563	276.4892578	656.7382813	-91.55273438	-17.39501953	5.126953125	0	336.8737793	0.0732421875	-0.1861572266	1.092529297
0.04	54.93164063	265.5029297	651.8554688	-90.08789063	-18.12744141	5.493164063	0	336.8737793	0.08850097656	0	1.049804688
0.042	65.91796875	260.0097656	643.3105469	-89.90478516	-18.67675781	6.225585938	0	336.8737793	0.1068115234	0.146484375	1.141357422
0.044	59.81445313	257.5683594	642.0898438	-91.00341797	-18.85986328	5.126953125	0	336.8737793	0.003051757813	0.1708984375	1.321411133
0.046	42.72460938	266.1132813	653.0761719	-93.01757813	-18.85986328	3.479003906	0	336.8737793	-0.06713867188	-0.0244140625	1.406860352
0.048	31.73828125	264.2822266	666.5039063	-93.75	-18.67675781	2.014160156	0	336.8737793	-0.01525878906	-0.1342773438	1.196289063
0.05	25.63476563	255.7373047	671.3867188	-93.38378906	-18.49365234	1.098632813	0	336.8737793	0.1159667969	-0.1129150391	0.8941650391
0.052	15.86914063	245.3613281	673.828125	-93.20068359	-17.76123047	0.5493164063	0	336.8737793	0.1800537109	0.009155273438	0.7446289063
0.054	4.8828125	245.3613281	678.7109375	-93.20068359	-16.84570313	0.1831054688	0	336.8737793	0.1159667969	0.06713867188	0.8575439453
0.056	1.220703125	257.5683594	684.8144531	-93.56689453	-15.93017578	0.732421875	0	336.8737793	0.04577636719	-0.009155273438	1.086425781
0.058	6.103515625	266.7236328	678.7109375	-92.10205078	-15.38085938	2.197265625	0	336.8737793	0.048828125	-0.08239746094	1.037597656
0.06	15.86914063	272.2167969	668.9453125	-90.08789063	-14.83154297	3.662109375	0	336.8737793	0.1495361328	-0.05798339844	0.8239746094
0.062	24.4140625	278.3203125	670.1660156	-89.53857422	-14.6484375	5.126953125	0	336.8737793	0.2716064453	-0.06103515625	0.7293701172
0.064	31.73828125	280.7617188	671.3867188	-89.53857422	-14.6484375	6.042480469	0	336.8737793	0.3540039063	-0.08850097656	0.9094238281
0.066	41.50390625	280.7617188	666.5039063	-89.90478516	-15.19775391	7.507324219	0	336.8737793	0.3997802734	-0.09765625	1.052856445
0.068	45.16601563	283.8134766	666.5039063	-90.08789063	-15.74707031	8.239746094	0	336.8737793	0.390625	-0.1800537109	1.040649414
