"Time"	"RR_Fx"	"RR_Fy"	"RR_Fz"	"RR_Mx"	"RR_My"	"RR_Mz"	"RR_Wheel Speed"	"RR_Position"	"RR_Ax"	"RR_Ay"	"RR_Az"
0	-4.8828125	205.078125	650.6347656	-75.43945313	-25.81787109	1.281738281	0	82.35351563	-0.07934570313	0.04577636719	1.361083984
0.002	-10.98632813	205.6884766	660.4003906	-76.72119141	-25.81787109	0.1831054688	0	82.35351563	-0.05187988281	-0.09765625	1.229858398
0.004	-15.86914063	199.5849609	666.5039063	-76.72119141	-25.26855469	-0.3662109375	0	82.35351563	0.003051757813	-0.1190185547	0.9582519531
0.006	-24.4140625	189.2089844	670.1660156	-76.35498047	-24.71923828	-0.9155273438	0	82.3425293	0.06103515625	-0.009155273438	0.8178710938
0.008	-32.95898438	186.1572266	671.3867188	-76.171875	-24.16992188	-1.281738281	0	82.38647461	0.03051757813	0.07934570313	0.9094238281
0.01	-40.28320313	194.7021484	675.0488281	-76.53808594	-23.4375	-1.281738281	0	82.44140625	0	0	1.104736328
0.012	-41.50390625	202.6367188	675.0488281	-75.43945313	-22.70507813	-0.3662109375	0	82.43041992	0.009155273438	-0.006103515625	1.129150391
0.014	-37.84179688	216.0644531	670.1660156	-73.79150391	-22.15576172	1.281738281	0	82.44140625	0.09155273438	-0.05493164063	0.9643554688
0.016	-32.95898438	225.2197266	665.2832031	-72.50976563	-21.78955078	2.380371094	0	82.41943359	0.2044677734	-0.1312255859	0.8361816406
0.018	-31.73828125	224.609375	667.7246094	-72.14355469	-21.60644531	3.295898438	0	82.35351563	0.2838134766	-0.07934570313	0.8819580078
0.02	-24.4140625	222.7783203	671.3867188	-72.32666016	-21.60644531	4.760742188	0	82.3425293	0.3479003906	-0.05187988281	1.019287109
0.022	-18.31054688	229.4921875	670.1660156	-72.50976563	-22.15576172	5.676269531	0	82.35351563	0.3662109375	-0.1342773438	1.083374023
0.024	-17.08984375	227.0507813	668.9453125	-72.87597656	-22.70507813	6.042480469	0	82.35351563	0.3753662109	-0.2197265625	0.9826660156
0.026	-14.6484375	219.7265625	675.0488281	-73.42529297	-23.4375	6.591796875	0	82.35351563	0.3662109375	-0.1739501953	0.830078125
0.028	-14.6484375	208.7402344	681.1523438	-74.89013672	-24.16992188	6.591796875	0	82.35351563	0.3326416016	-0.07019042969	0.8422851563
0.03	-14.6484375	201.4160156	682.3730469	-76.171875	-24.71923828	6.042480469	0	82.35351563	0.2502441406	0.009155273438	0.9704589844
0.032	-14.6484375	200.1953125	678.7109375	-76.72119141	-25.45166016	5.310058594	0	82.35351563	0.1434326172	0	1.080322266
0.034	-14.6484375	197.7539063	675.0488281	-76.171875	-25.81787109	3.845214844	0	82.35351563	0.05187988281	0.03051757813	1.055908203
0.036	-17.08984375	196.5332031	670.1660156	-75.07324219	-26.18408203	2.197265625	0	82.35351563	-0.009155273438	0.09155273438	0.9704589844
0.038	-19.53125	198.3642578	665.2832031	-75.07324219	-25.81787109	0.732421875	0	82.35351563	-0.02136230469	0.09155273438	1.065063477
0.04	-25.63476563	206.9091797	659.1796875	-75.80566406	-25.63476563	-0.5493164063	0	82.35351563	0.02746582031	0.01525878906	1.275634766
0.042	-30.51757813	214.2333984	655.5175781	-76.35498047	-25.08544922	-1.281738281	0	82.35351563	0.04272460938	-0.0732421875	1.400756836
0.044	-29.296875	214.84375	657.9589844	-76.171875	-24.53613281	-1.647949219	0	82.35351563	0.03356933594	-0.1037597656	1.321411133
0.046	-28.07617188	209.9609375	665.2832031	-75.80566406	-23.80371094	-1.46484375	0	82.35351563	0.009155273438	-0.05798339844	1.129150391
0.048	-25.63476563	203.8574219	671.3867188	-75.62255859	-22.70507813	-0.5493164063	0	82.35351563	-0.003051757813	0.01831054688	1.007080078
0.05	-19.53125	203.2470703	673.828125	-75.98876953	-21.78955078	1.098632813	0	82.35351563	0.06408691406	-0.01220703125	1.016235352
0.052	-13.42773438	200.8056641	676.2695313	-76.171875	-20.69091797	2.563476563	0	82.35351563	0.08239746094	0.003051757813	1.000976563
0.054	-7.32421875	205.6884766	678.7109375	-75.62255859	-19.59228516	3.662109375	0	82.35351563	0.06408691406	-0.02746582031	0.9033203125
0.056	0	211.1816406	675.0488281	-74.34082031	-18.85986328	4.577636719	0	82.35351563	0.08544921875	-0.07019042969	0.7751464844
0.058	1.220703125	210.5712891	668.9453125	-73.60839844	-18.12744141	4.943847656	0	82.35351563	0.1678466797	-0.0244140625	0.7751464844
0.06	1.220703125	210.5712891	664.0625	-73.79150391	-17.94433594	5.126953125	0	82.35351563	0.2655029297	0.048828125	0.9338378906
0.062	0	214.84375	661.6210938	-74.15771484	-17.94433594	4.760742188	0	82.35351563	0.3234863281	0.03662109375	1.098632813
0.064	-7.32421875	216.0644531	660.4003906	-74.52392578	-18.31054688	4.028320313	0	82.35351563	0.3356933594	-0.02746582031	1.126098633
0.066	-13.42773438	219.1162109	665.2832031	-74.89013672	-19.04296875	3.479003906	0	82.35351563	0.3021240234	-0.1220703125	0.9826660156
0.068	-17.08984375	223.9990234	671.3867188	-75.25634766	-20.14160156	3.112792969	0	82.35351563	0.2624511719	-0.2380371094	0.87890625
0.07	-20.75195313	214.84375	675.0488281	-75.25634766	-21.05712891	2.9296875	0	82.35351563	0.1892089844	-0.1831054688	0.8239746094
0.072	-19.53125	206.2988281	675.0488281	-75.25634766	-21.97265625	3.112792969	0	82.35351563	0.1159667969	-0.02746582031	0.8819580078
0.074	-19.53125	209.9609375	673.828125	-75.43945313	-23.25439453	3.112792969	0	82.35351563	0.06713867188	0.006103515625	0.9948730469
0.076	-19.53125	221.5576172	668.9453125	-75.07324219	-24.35302734	2.563476563	0	82.35351563	0	-0.1220703125	1.040649414
0.078	-15.86914063	220.9472656	662.8417969	-74.15771484	-25.08544922	2.746582031	0	82.35351563	0	-0.1403808594	0.9857177734
0.08	-3.662109375	207.5195313	654.296875	-73.2421875	-25.63476563	3.295898438	0	82.35351563	0.02136230469	0.1068115234	0.9521484375
0.082	4.8828125	204.4677734	650.6347656	-74.15771484	-25.81787109	3.662109375	0	82.35351563	0.02136230469	0.1586914063	1.113891602
0.084	0	201.4160156	651.8554688	-75.62255859	-25.81787109	2.563476563	0	82.35351563	-0.03051757813	0.1556396484	1.324462891
