"Time"	"RR_Fx"	"RR_Fy"	"RR_Fz"	"RR_Mx"	"RR_My"	"RR_Mz"	"RR_Wheel Speed"	"RR_Position"	"RR_Ax"	"RR_Ay"	"RR_Az"
0.07	-69.58007813	175.1708984	682.3730469	-67.56591797	-64.08691406	-3.479003906	-2.624511719	68.00537109	-0.5706787109	0	1.092529297
0.072	-91.55273438	169.6777344	682.3730469	-68.48144531	-64.81933594	-3.112792969	-2.655029297	68.07128906	-0.4669189453	0.03662109375	1.193237305
0.074	-133.0566406	167.2363281	689.6972656	-69.58007813	-65.55175781	-3.479003906	-2.777099609	68.15917969	-0.2258300781	0.07019042969	1.226806641
0.076	-172.1191406	164.7949219	705.5664063	-70.86181641	-66.28417969	-3.295898438	0.9460449219	68.25805664	0.1129150391	0.04272460938	1.141357422
0.078	-197.7539063	166.6259766	717.7734375	-70.67871094	-66.65039063	-1.647949219	2.990722656	68.30200195	0.4089355469	-0.003051757813	0.9246826172
0.08	-219.7265625	171.5087891	722.65625	-69.94628906	-66.46728516	-0.3662109375	2.593994141	68.36791992	0.5218505859	-0.1037597656	0.7934570313
0.082	-247.8027344	175.1708984	726.3183594	-69.03076172	-66.28417969	0.3662109375	2.655029297	68.37890625	0.4272460938	-0.1129150391	0.7873535156
0.084	-266.1132813	186.1572266	729.9804688	-68.29833984	-65.73486328	1.281738281	2.655029297	68.36791992	0.3265380859	-0.1739501953	0.9002685547
0.086	-267.3339844	195.3125	727.5390625	-67.19970703	-65.18554688	2.197265625	2.655029297	68.37890625	0.4028320313	-0.1617431641	0.9490966797
0.088	-257.5683594	202.0263672	721.4355469	-65.91796875	-64.63623047	3.112792969	2.655029297	68.35693359	0.6469726563	-0.1434326172	0.9155273438
0.09	-241.6992188	209.9609375	715.3320313	-65.18554688	-64.27001953	3.662109375	2.624511719	68.29101563	0.8361816406	-0.1770019531	0.9155273438
0.092	-222.1679688	210.5712891	712.890625	-65.18554688	-63.90380859	3.845214844	2.838134766	68.203125	0.78125	-0.1708984375	0.9460449219
0.094	-196.5332031	203.2470703	718.9941406	-66.46728516	-63.72070313	3.662109375	2.136230469	68.11523438	0.5310058594	-0.1373291016	1.055908203
0.096	-168.4570313	195.3125	716.5527344	-67.93212891	-63.90380859	2.9296875	-2.319335938	68.03833008	0.29296875	-0.1373291016	1.123046875
0.098	-145.2636719	183.7158203	709.2285156	-69.58007813	-64.27001953	1.831054688	-3.173828125	67.97241211	0.1495361328	-0.1068115234	1.153564453
0.1	-125.7324219	175.1708984	711.6699219	-71.77734375	-65.18554688	0.732421875	-2.9296875	67.9284668	0.09155273438	-0.1037597656	1.104736328
0.102	-114.7460938	166.6259766	721.4355469	-73.97460938	-66.46728516	-1.098632813	-2.990722656	67.93945313	-0.04577636719	-0.06103515625	1.141357422
0.104	-106.2011719	164.1845703	722.65625	-74.89013672	-67.56591797	-3.295898438	-2.990722656	67.93945313	-0.3875732422	-0.05493164063	1.153564453
0.106	-101.3183594	161.1328125	716.5527344	-74.15771484	-68.66455078	-5.676269531	-2.990722656	67.93945313	-0.7202148438	0.02136230469	1.141357422
0.108	-102.5390625	159.3017578	708.0078125	-72.50976563	-69.58007813	-7.690429688	-2.990722656	67.9284668	-0.8514404297	0.1678466797	1.174926758
0.11	-113.5253906	169.6777344	705.5664063	-71.41113281	-70.12939453	-9.338378906	-2.960205078	67.99438477	-0.7965087891	0.1770019531	1.226806641
0.112	-139.1601563	181.2744141	710.4492188	-71.77734375	-70.67871094	-10.43701172	-3.051757813	68.08227539	-0.5645751953	0.1098632813	1.29699707
