"Time","RR_Fx","RR_Fy","RR_Fz","RR_Mx","RR_My","RR_Mz","RR_Wheel,Speed","RR_Position","RR_Ax","RR_Ay","RR_Az"
0.07,-217.2851563,249.6337891,714.1113281,-87.890625,-79.65087891,-2.014160156,-4.211425781,132.2644043,0.1129150391,-0.06408691406,0.9948730469
0.072,-200.1953125,250.8544922,709.2285156,-87.890625,-80.74951172,-2.380371094,-4.211425781,132.2644043,0,-0.06408691406,1.129150391
0.074,-183.1054688,249.0234375,701.9042969,-86.79199219,-81.48193359,-3.112792969,-4.211425781,132.2753906,-0.2258300781,0,1.107788086
0.076,-161.1328125,246.5820313,693.359375,-85.51025391,-82.03125,-2.746582031,-4.211425781,132.2753906,-0.3845214844,0.05493164063,1.04675293
0.078,-135.4980469,242.9199219,688.4765625,-85.32714844,-82.76367188,-2.014160156,-4.211425781,132.2753906,-0.4455566406,0.1495361328,1.126098633
0.08,-130.6152344,241.6992188,689.6972656,-86.42578125,-82.94677734,-3.112792969,-4.211425781,132.2644043,-0.4974365234,0.1403808594,1.281738281
0.082,-152.5878906,241.0888672,697.0214844,-88.25683594,-82.76367188,-5.493164063,-4.211425781,132.2753906,-0.4577636719,0.09460449219,1.345825195
0.084,-179.4433594,241.6992188,706.7871094,-88.98925781,-82.76367188,-7.141113281,-4.211425781,132.3303223,-0.3143310547,-0.01831054688,1.190185547
0.086,-198.9746094,237.4267578,716.5527344,-88.25683594,-82.58056641,-7.690429688,-4.211425781,132.4072266,-0.04272460938,-0.07019042969,0.8758544922
0.088,-216.0644531,228.8818359,720.2148438,-86.97509766,-82.21435547,-6.958007813,-4.150390625,132.4731445,0.1312255859,0.01220703125,0.7019042969
0.09,-238.0371094,237.4267578,723.8769531,-86.79199219,-81.66503906,-5.859375,-4.302978516,132.5280762,0.0732421875,-0.01525878906,0.8270263672
0.092,-261.2304688,250.2441406,728.7597656,-86.42578125,-81.11572266,-4.577636719,-3.936767578,132.5390625,-0.03662109375,-0.1159667969,1.010131836
0.094,-269.7753906,259.3994141,728.7597656,-84.59472656,-80.93261719,-2.563476563,0,132.6049805,0.05798339844,-0.1708984375,0.9613037109
0.096,-264.8925781,263.671875,722.65625,-82.03125,-80.74951172,0,1.007080078,132.6269531,0.3204345703,-0.1037597656,0.7873535156
0.098,-263.671875,266.1132813,718.9941406,-80.56640625,-80.38330078,2.014160156,0.7629394531,132.5610352,0.6164550781,-0.02136230469,0.7232666016
0.1,-262.4511719,264.2822266,721.4355469,-80.93261719,-80.20019531,2.9296875,0.7629394531,132.5280762,0.7629394531,-0.02136230469,0.9002685547
0.102,-257.5683594,270.9960938,722.65625,-81.84814453,-80.38330078,3.295898438,0.9155273438,132.4841309,0.7202148438,-0.146484375,1.086425781
0.104,-249.0234375,274.0478516,718.9941406,-82.21435547,-80.74951172,3.112792969,0.5798339844,132.4401855,0.6378173828,-0.3173828125,1.077270508
0.106,-241.6992188,259.3994141,717.7734375,-82.94677734,-81.48193359,2.9296875,-3.845214844,132.3852539,0.5523681641,-0.2410888672,0.9674072266
0.108,-228.2714844,239.8681641,721.4355469,-84.22851563,-82.03125,2.563476563,-5.096435547,132.3413086,0.5035400391,-0.05798339844,0.9735107422
0.11,-214.84375,233.7646484,726.3183594,-86.24267578,-82.58056641,1.098632813,-4.791259766,132.2753906,0.29296875,-0.01220703125,1.095581055
0.112,-207.5195313,233.7646484,722.65625,-87.34130859,-83.12988281,-2.014160156,-4.852294922,132.2644043,-0.08239746094,-0.05798339844,1.229858398
0.114,-200.1953125,228.8818359,717.7734375,-86.42578125,-83.49609375,-5.126953125,-4.852294922,132.2753906,-0.3845214844,-0.01525878906,1.208496094
0.116,-186.7675781,221.5576172,709.2285156,-84.59472656,-83.86230469,-6.958007813,-4.852294922,132.2753906,-0.4791259766,0.1312255859,1.055908203
0.118,-177.0019531,221.5576172,703.125,-83.86230469,-84.04541016,-8.605957031,-4.852294922,132.2753906,-0.4241943359,0.1953125,1.089477539
0.12,-174.5605469,230.7128906,698.2421875,-84.59472656,-83.86230469,-9.521484375,-4.852294922,132.2753906,-0.3662109375,0.1281738281,1.318359375
0.122,-175.78125,243.5302734,697.0214844,-84.9609375,-83.67919922,-9.704589844,-4.852294922,132.2644043,-0.3997802734,-0.03051757813,1.452636719
0.124,-181.8847656,246.5820313,700.6835938,-84.59472656,-83.31298828,-8.7890625,-4.852294922,132.3193359,-0.4058837891,-0.08544921875,1.309204102
0.126,-186.7675781,241.0888672,709.2285156,-83.49609375,-82.58056641,-6.958007813,-4.852294922,132.3962402,-0.2716064453,-0.04577636719,1.016235352
0.128,-198.9746094,238.6474609,714.1113281,-82.58056641,-82.21435547,-4.211425781,-4.852294922,132.4401855,-0.06408691406,-0.05187988281,0.8605957031
0.13,-211.1816406,238.0371094,717.7734375,-82.76367188,-81.48193359,-1.281738281,-4.852294922,132.5061035,0.1281738281,-0.08544921875,0.8544921875
0.132,-227.0507813,239.2578125,721.4355469,-82.39746094,-80.74951172,0.5493164063,-4.852294922,132.5390625,0.2136230469,-0.1068115234,0.8758544922
0.134,-238.0371094,242.3095703,721.4355469,-81.48193359,-80.01708984,1.647949219,-4.852294922,132.5280762,0.2655029297,-0.09155273438,0.7781982422
