"Time","RR_Fx","RR_Fy","RR_Fz","RR_Mx","RR_My","RR_Mz","RR_Wheel,Speed","RR_Position","RR_Ax","RR_Ay","RR_Az"
0.074,-211.1816406,213.0126953,716.5527344,-83.86230469,-62.62207031,-2.380371094,0,241.6882324,0.2716064453,-0.1190185547,0.8453369141
0.076,-214.84375,219.7265625,715.3320313,-83.31298828,-62.25585938,-0.9155273438,0,241.6882324,0.2532958984,-0.1159667969,0.9460449219
0.078,-200.1953125,228.2714844,710.4492188,-81.84814453,-62.07275391,1.281738281,0,241.6992188,0.4486083984,-0.1342773438,0.9582519531
0.08,-185.546875,225.8300781,704.3457031,-80.20019531,-62.07275391,2.9296875,0,241.6882324,0.6439208984,0,0.8880615234
0.082,-168.4570313,229.4921875,705.5664063,-79.83398438,-62.07275391,4.028320313,0,241.6003418,0.6408691406,0.03051757813,0.8880615234
0.084,-156.25,237.4267578,709.2285156,-80.20019531,-62.25585938,3.112792969,0,241.5124512,0.4241943359,-0.08850097656,0.9948730469
0.086,-150.1464844,238.6474609,708.0078125,-80.93261719,-62.62207031,1.831054688,0,241.4355469,0.2746582031,-0.2319335938,1.062011719
0.088,-147.7050781,228.2714844,704.3457031,-82.03125,-63.53759766,0.732421875,0,241.4245605,0.3265380859,-0.1586914063,1.065063477
0.09,-144.0429688,215.4541016,709.2285156,-83.86230469,-64.81933594,-0.3662109375,0,241.4355469,0.3326416016,-0.06713867188,1.040649414
0.092,-136.71875,206.9091797,716.5527344,-85.51025391,-65.55175781,-1.46484375,0,241.4355469,0.1647949219,-0.009155273438,1.040649414
0.094,-128.1738281,202.6367188,716.5527344,-86.05957031,-66.46728516,-2.746582031,0,241.4355469,-0.1983642578,-0.003051757813,1.031494141
0.096,-119.6289063,200.1953125,712.890625,-86.05957031,-66.83349609,-4.39453125,0,241.4245605,-0.5676269531,0.01525878906,1.037597656
0.098,-114.7460938,201.4160156,706.7871094,-85.14404297,-67.19970703,-5.859375,0,241.4575195,-0.6713867188,0.05187988281,1.086425781
0.1,-113.5253906,199.5849609,698.2421875,-84.04541016,-67.3828125,-6.591796875,0,241.5124512,-0.4638671875,0.1220703125,1.132202148
0.102,-115.9667969,200.1953125,693.359375,-84.04541016,-67.19970703,-6.408691406,0,241.5673828,-0.1678466797,0.2380371094,1.208496094
0.104,-124.5117188,209.9609375,694.5800781,-84.04541016,-66.65039063,-6.408691406,0,241.6223145,-0.048828125,0.1159667969,1.217651367
0.106,-135.4980469,217.2851563,694.5800781,-84.04541016,-66.10107422,-5.676269531,0,241.6882324,-0.08239746094,0.003051757813,1.190185547
0.108,-146.484375,222.7783203,698.2421875,-83.86230469,-65.36865234,-3.662109375,0,241.6992188,-0.07019042969,-0.1068115234,1.104736328
0.11,-159.9121094,217.2851563,704.3457031,-83.31298828,-64.63623047,-1.281738281,0,241.7651367,0.07019042969,-0.1007080078,0.9796142578
