"Time","RR_Fx","RR_Fy","RR_Fz","RR_Mx","RR_My","RR_Mz","RR_Wheel,Speed","RR_Position","RR_Ax","RR_Ay","RR_Az"
0,-109.8632813,222.7783203,677.4902344,-80.38330078,-45.41015625,-1.46484375,3.875732422,264.6606445,0.5218505859,0.03662109375,1.126098633
0.002,-97.65625,222.7783203,671.3867188,-80.74951172,-44.86083984,-3.845214844,4.180908203,264.6386719,0.3479003906,0.02746582031,1.181030273
0.004,-87.890625,222.7783203,675.0488281,-81.48193359,-44.67773438,-6.042480469,1.525878906,264.5947266,0.08544921875,-0.03051757813,1.113891602
0.006,-78.125,217.2851563,678.7109375,-82.21435547,-45.04394531,-7.141113281,-1.098632813,264.5397949,-0.1007080078,-0.05187988281,1.016235352
0.008,-69.58007813,210.5712891,679.9316406,-83.31298828,-45.77636719,-7.690429688,-0.7629394531,264.5507813,-0.2258300781,-0.03967285156,1.010131836
0.01,-63.4765625,205.078125,682.3730469,-83.86230469,-46.69189453,-7.507324219,-0.7934570313,264.5507813,-0.2868652344,0.01525878906,1.031494141
0.012,-57.37304688,208.7402344,683.59375,-84.22851563,-47.79052734,-6.958007813,-0.8239746094,264.5397949,-0.3265380859,-0.003051757813,1.025390625
0.014,-54.93164063,220.3369141,686.0351563,-83.49609375,-48.88916016,-6.958007813,-0.7934570313,264.5727539,-0.390625,-0.1373291016,0.9643554688
0.016,-57.37304688,222.7783203,681.1523438,-81.48193359,-50.35400391,-6.408691406,-0.8544921875,264.6386719,-0.3753662109,-0.09155273438,0.87890625
0.018,-56.15234375,215.4541016,673.828125,-79.65087891,-51.63574219,-4.760742188,-0.7629394531,264.7045898,-0.2746582031,0.09155273438,0.8453369141
0.02,-61.03515625,210.5712891,671.3867188,-79.1015625,-52.734375,-3.662109375,2.685546875,264.7814941,-0.1220703125,0.2655029297,0.9674072266
0.022,-76.90429688,214.84375,675.0488281,-80.38330078,-53.83300781,-3.479003906,3.997802734,264.8693848,-0.03967285156,0.2105712891,1.159667969
0.024,-108.6425781,225.2197266,683.59375,-81.84814453,-54.93164063,-4.39453125,3.723144531,264.9023438,-0.01525878906,-0.009155273438,1.159667969
0.026,-136.71875,226.4404297,690.9179688,-82.39746094,-56.03027344,-4.577636719,3.753662109,264.9133301,0.1556396484,-0.1770019531,0.9796142578
0.028,-157.4707031,212.4023438,700.6835938,-82.21435547,-56.57958984,-4.211425781,3.753662109,264.979248,0.3875732422,-0.1159667969,0.7293701172
0.03,-178.2226563,204.4677734,704.3457031,-82.21435547,-56.94580078,-4.028320313,3.753662109,264.9902344,0.5340576172,-0.02746582031,0.6958007813
0.032,-196.5332031,203.2470703,704.3457031,-82.21435547,-56.94580078,-4.211425781,3.753662109,264.9902344,0.4760742188,0.0244140625,0.9063720703
0.034,-201.4160156,212.4023438,704.3457031,-82.03125,-56.94580078,-3.662109375,3.753662109,264.9462891,0.341796875,-0.05798339844,1.055908203
